A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
23;1;4;3;2;2;1;1;2;1;1;1;3;7;3;5;4;3;3;4;4;2;2;3;3;3;2;1;2;3;4;4;1;2;4;3;5;2;2;1;3;3;3;2;3;4;3;2;5;79;2;62;4;58;2
39;1;6;1;2;1;1;1;1;1;2;1;4;3;3;5;5;4;3;4;4;4;3;2;1;2;1;1;1;5;4;5;2;2;5;5;5;5;5;3;4;3;3;4;4;4;5;4;5;79;1;63;3;59;2
33;2;6;2;2;2;1;1;1;1;1;1;2;4;5;4;3;2;3;6;5;3;3;4;2;2;4;3;2;3;4;4;4;2;4;4;4;4;4;2;3;2;3;2;3;3;4;3;5;80;2;63;4;59;1
18;1;3;2;1;1;1;1;2;2;1;1;2;4;1;4;6;1;1;2;1;5;5;5;4;5;4;4;4;6;6;6;6;6;6;5;4;5;4;4;6;4;4;3;6;5;5;4;6;83;2;64;4;60;2
17;2;3;3;2;2;1;1;1;2;2;1;3;6;3;4;6;3;4;3;4;5;2;6;2;4;1;1;1;4;5;4;4;4;4;5;4;5;4;4;4;5;4;5;4;4;5;4;5;83;1;65;4;62;2
18;1;3;3;2;2;1;1;2;1;1;1;4;3;3;2;4;4;3;3;4;1;3;3;2;3;6;1;1;5;6;7;5;5;4;4;4;5;5;4;6;5;4;3;5;5;4;4;5;80;1;66;4;60;1
17;1;3;1;2;1;1;1;1;1;2;1;4;5;4;5;5;3;4;4;3;3;4;4;4;4;4;4;4;5;5;6;5;4;5;5;5;5;5;4;4;5;4;4;5;5;5;5;5;82;1;67;3;63;1
18;1;3;3;2;2;1;1;2;1;1;1;4;3;4;2;6;2;2;4;4;6;6;5;4;4;2;2;2;4;6;6;3;1;4;6;6;5;6;2;5;5;4;4;5;5;6;4;7;84;1;65;3;63;2
20;1;3;1;1;2;1;1;1;1;1;1;5;4;3;4;4;3;2;5;3;1;1;4;3;2;1;1;2;6;6;6;5;4;2;2;2;2;2;4;6;5;4;4;6;6;6;4;6;81;2;67;4;62;1
18;2;3;3;2;2;1;1;2;1;1;1;3;6;3;2;6;1;2;2;4;5;5;5;4;6;5;5;5;5;3;6;3;4;7;7;7;7;7;4;5;5;5;5;4;6;5;5;6;81;1;66;3;61;1
18;1;2;2;1;1;1;1;2;2;1;1;3;6;4;4;5;2;2;3;3;2;3;3;3;4;5;1;3;3;3;4;5;4;4;5;4;4;3;6;5;4;4;5;5;6;4;4;6;82;2;64;3;61;2
28;2;6;1;2;1;1;1;1;1;3;1;2;6;3;3;2;2;2;3;3;4;5;3;5;4;3;4;5;4;5;5;3;4;4;5;5;5;6;5;5;5;5;4;3;4;5;4;5;85;2;68;4;64;2
19;1;2;1;2;1;1;1;1;1;2;1;5;6;4;5;6;4;6;2;6;2;4;4;5;6;2;1;3;5;6;6;5;4;4;6;7;5;3;2;4;3;3;2;6;6;6;5;7;84;2;68;3;64;1
26;1;6;2;2;2;1;1;1;1;1;1;3;7;3;3;5;3;3;4;7;3;7;5;7;5;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;86;1;70;4;66;1
18;1;2;5;2;2;2;1;2;2;1;1;4;7;3;3;5;2;6;3;3;4;4;4;4;3;2;2;1;5;4;5;4;5;4;3;3;4;4;4;4;4;4;4;5;4;4;4;4;86;2;69;4;65;2
18;1;2;4;2;2;2;1;2;1;1;1;1;4;2;3;5;3;4;5;5;5;5;5;3;4;5;5;4;6;6;7;5;4;6;6;6;6;6;5;5;5;5;5;6;6;6;4;6;85;1;69;3;65;1
18;1;4;2;1;2;1;1;2;1;1;1;3;5;4;3;6;2;2;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;87;2;70;3;66;2
24;1;6;2;2;2;1;1;1;1;1;1;3;3;1;1;6;6;4;6;6;1;4;1;1;1;7;1;1;1;1;4;1;1;4;5;4;2;2;1;4;4;2;4;1;4;4;1;6;87;1;71;3;67;1
24;1;6;3;2;2;2;1;1;1;1;1;3;5;4;4;5;2;2;5;5;6;6;6;5;5;7;6;6;6;4;7;2;5;6;7;6;7;7;4;5;6;6;5;7;6;6;6;7;88;2;71;4;67;2
27;1;6;2;1;2;2;1;1;1;2;1;2;3;2;2;4;3;3;3;3;3;4;5;4;5;3;2;3;5;4;5;4;4;4;4;4;4;4;5;5;5;5;6;3;4;5;3;6;88;1;72;4;68;2
52;1;6;1;2;1;1;1;1;1;5;1;5;6;6;6;4;3;3;3;4;2;3;2;2;2;2;2;2;4;4;4;4;4;4;3;4;3;3;3;3;4;3;4;4;4;3;4;3;89;2;72;3;68;1
27;1;6;2;2;2;1;1;1;1;1;1;3;6;5;5;3;3;3;2;3;4;4;4;4;4;7;4;5;6;5;6;6;4;6;5;4;5;4;5;5;6;3;6;5;6;5;6;5;91;1;73;4;69;2
26;1;6;2;2;2;1;1;1;1;1;1;2;5;3;4;4;2;2;4;4;4;5;3;5;5;5;2;4;5;6;6;6;4;4;5;5;6;5;2;6;5;4;3;4;5;6;4;6;89;1;73;3;69;1
